1,NA100q,A40_48g
2,PA100q,K20_6g
3,PA100q,
4,PA100q,A40_48g
5,PA40q,K80_12g
6,PA40q,K80_12g
7,PA40q,V100_16g
8,RTXA6Kq,V100_16g
9,RTXA6Kq,V100_16g
10,RTXA6Kq,A6000_48g
11,defq,
12,defq,A6000_48g
13,defq,A40_48g
14,defq,V100_32g
15,defq,V100_32g
16,defq,V100_32g
17,defq,V100_32g
18,defq,P100_16g
19,defq,P100_16g
20,defq,V100_16g
21,defq,V100_16g
22,defq,RTX8000_48g
23,defq,V100_32g
24,defq,V100_32g
25,defq,A100_40g
26,defq,A100_40g
27,defq,A6000_48g
28,defq,A6000_48g
29,defq,A100_40g
30,RTXq,A100_80g
31,RTXq,
